AccelerometerEvent sender: /android/brenner, time: 1341234146258, x:  0.112343050539, y:  0.946612298489, z:  0.072290308774
AccelerometerEvent sender: /android/brenner, time: 1341234146272, x:  0.128950282931, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234146312, x:  0.148488208652, y:  0.941727817059, z:  0.094758920372
AccelerometerEvent sender: /android/brenner, time: 1341234146321, x:  0.148488208652, y:  0.941727817059, z:  0.094758920372
AccelerometerEvent sender: /android/brenner, time: 1341234146353, x:  0.149465098977, y:  0.944658458233, z:  0.107458569109
AccelerometerEvent sender: /android/brenner, time: 1341234146383, x:  0.149465098977, y:  0.944658458233, z:  0.107458569109
AccelerometerEvent sender: /android/brenner, time: 1341234146393, x:  0.144580617547, y:  0.938797175884, z:  0.102574095130
AccelerometerEvent sender: /android/brenner, time: 1341234146433, x:  0.134811669588, y:  0.945635437965, z:  0.092805132270
AccelerometerEvent sender: /android/brenner, time: 1341234146446, x:  0.134811669588, y:  0.945635437965, z:  0.092805132270
AccelerometerEvent sender: /android/brenner, time: 1341234146473, x:  0.128950282931, y:  0.941727817059, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234146508, x:  0.128950282931, y:  0.941727817059, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234146513, x:  0.125042706728, y:  0.946612298489, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234146553, x:  0.132857874036, y:  0.943681597710, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234146572, x:  0.132857874036, y:  0.943681597710, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234146593, x:  0.136765450239, y:  0.945635437965, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234146634, x:  0.131880968809, y:  0.942704737186, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234146635, x:  0.131880968809, y:  0.942704737186, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234146673, x:  0.134811669588, y:  0.942704737186, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234146696, x:  0.134811669588, y:  0.942704737186, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234146714, x:  0.134811669588, y:  0.944658458233, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234146754, x:  0.131880968809, y:  0.941727817059, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234146759, x:  0.131880968809, y:  0.941727817059, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234146794, x:  0.132857874036, y:  0.946612298489, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234146821, x:  0.132857874036, y:  0.946612298489, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234146834, x:  0.129927173257, y:  0.944658458233, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234146874, x:  0.137742340565, y:  0.944658458233, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234146884, x:  0.137742340565, y:  0.944658458233, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234146914, x:  0.133834764361, y:  0.940750956535, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234146946, x:  0.133834764361, y:  0.940750956535, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234146954, x:  0.132857874036, y:  0.946612298489, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234146994, x:  0.136765450239, y:  0.943681597710, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234147009, x:  0.136765450239, y:  0.943681597710, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234147034, x:  0.138719245791, y:  0.945635437965, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234147071, x:  0.138719245791, y:  0.945635437965, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234147074, x:  0.131880968809, y:  0.944658458233, z:  0.086943753064
