800,,,,,,
spreading,52,60,,,,
ACCEL,2011-03-17 10:50:06.671,107,869,0.1601563,-0.01953125,-1.042969
ACCEL,2011-03-17 10:50:06.683,107,870,0.1484375,0.01953125,-1
ACCEL,2011-03-17 10:50:06.703,107,871,0.0703125,0.0078125,-1.003906
ACCEL,2011-03-17 10:50:06.723,107,872,-0.04296875,-0.03125,-1.058594
ACCEL,2011-03-17 10:50:06.743,107,873,-0.07421875,-0.07421875,-1.121094
ACCEL,2011-03-17 10:50:06.763,107,874,-0.078125,-0.109375,-1.164063
ACCEL,2011-03-17 10:50:06.783,107,875,-0.07421875,-0.1601563,-1.238281
ACCEL,2011-03-17 10:50:06.803,107,876,-0.2421875,-0.3007813,-1.207031
ACCEL,2011-03-17 10:50:06.823,107,877,-0.1484375,-0.296875,-1.082031
ACCEL,2011-03-17 10:50:06.843,107,878,0.02734375,-0.28125,-1.011719
ACCEL,2011-03-17 10:50:06.860,107,879,0.1757813,-0.2578125,-0.953125
ACCEL,2011-03-17 10:50:06.880,107,880,0.3671875,-0.2070313,-0.8867188
ACCEL,2011-03-17 10:50:06.900,107,881,0.4726563,-0.1679688,-0.8398438
ACCEL,2011-03-17 10:50:06.920,107,882,0.5078125,-0.1601563,-0.8554688
ACCEL,2011-03-17 10:50:06.940,107,883,0.6171875,-0.125,-0.8710938
ACCEL,2011-03-17 10:50:06.960,107,884,0.6171875,-0.1054688,-0.859375
ACCEL,2011-03-17 10:50:06.980,107,885,0.609375,-0.05859375,-0.8085938
ACCEL,2011-03-17 10:50:07.000,107,886,0.625,-0.01171875,-0.8125
ACCEL,2011-03-17 10:50:07.031,107,887,0.6679688,0.01171875,-0.8632813
ACCEL,2011-03-17 10:50:07.051,107,888,0.6601563,0.04296875,-0.9648438
ACCEL,2011-03-17 10:50:07.071,107,889,0.640625,0.03125,-1.070313
ACCEL,2011-03-17 10:50:07.091,107,890,0.59375,0.015625,-1.128906
ACCEL,2011-03-17 10:50:07.111,107,891,0.4726563,0.00390625,-1.144531
ACCEL,2011-03-17 10:50:07.131,107,892,0.453125,0.04296875,-0.984375
ACCEL,2011-03-17 10:50:07.151,107,893,0.5039063,0.06640625,-0.984375
ACCEL,2011-03-17 10:50:07.171,107,894,0.3554688,0,-1.261719
ACCEL,2011-03-17 10:50:07.188,107,895,0.3398438,0.0546875,-0.890625
ACCEL,2011-03-17 10:50:07.208,107,896,0.2578125,-0.0078125,-1.023438
ACCEL,2011-03-17 10:50:07.228,107,897,0.2929688,-0.02734375,-0.9648438
ACCEL,2011-03-17 10:50:07.248,107,898,0.2695313,-0.03125,-1.003906
ACCEL,2011-03-17 10:50:07.268,107,899,0.1992188,-0.0390625,-1.027344
ACCEL,2011-03-17 10:50:07.288,107,900,0.1210938,-0.0390625,-1.03125
ACCEL,2011-03-17 10:50:07.308,107,901,0.07421875,-0.06640625,-1.085938
ACCEL,2011-03-17 10:50:07.328,107,902,0.07421875,-0.0859375,-1.121094
ACCEL,2011-03-17 10:50:07.344,107,903,0.01953125,-0.078125,-1.082031
ACCEL,2011-03-17 10:50:07.364,107,904,-0.03125,-0.1054688,-1.101563
ACCEL,2011-03-17 10:50:07.384,107,905,-0.03125,-0.1171875,-1.121094
ACCEL,2011-03-17 10:50:07.404,107,906,-0.0234375,-0.1367188,-1.082031
ACCEL,2011-03-17 10:50:07.424,107,907,-0.015625,-0.15625,-1.0625
ACCEL,2011-03-17 10:50:07.444,107,908,0.02734375,-0.15625,-1.023438
ACCEL,2011-03-17 10:50:07.464,107,909,0.1171875,-0.1484375,-0.9765625
ACCEL,2011-03-17 10:50:07.484,107,910,0.2265625,-0.109375,-0.8867188
ACCEL,2011-03-17 10:50:07.500,107,911,0.4375,-0.1132813,-0.8945313
ACCEL,2011-03-17 10:50:07.520,107,912,0.5859375,-0.1289063,-0.9375
ACCEL,2011-03-17 10:50:07.540,107,913,0.6835938,-0.1289063,-0.9609375
ACCEL,2011-03-17 10:50:07.560,107,914,0.7460938,-0.08984375,-0.96875
ACCEL,2011-03-17 10:50:07.580,107,915,0.7890625,-0.03515625,-0.9453125
ACCEL,2011-03-17 10:50:07.600,107,916,0.8085938,-0.00390625,-0.9453125
ACCEL,2011-03-17 10:50:07.620,107,917,0.7617188,0.05078125,-0.9570313
ACCEL,2011-03-17 10:50:07.640,107,918,0.6640625,0.0546875,-1.070313
ACCEL,2011-03-17 10:50:07.676,107,919,0.4023438,0,-1.332031
ACCEL,2011-03-17 10:50:07.696,107,920,0.28125,-0.01953125,-1.253906
ACCEL,2011-03-17 10:50:07.716,107,921,0.2226563,0.01171875,-1.15625
ACCEL,2011-03-17 10:50:07.736,107,922,-0.265625,-0.3242188,-0.9140625
ACCEL,2011-03-17 10:50:07.756,107,923,0.7734375,0.0625,-1.253906
ACCEL,2011-03-17 10:50:07.776,107,924,0.1953125,0.01953125,-0.8945313
ACCEL,2011-03-17 10:50:07.796,107,925,0.08984375,0.0625,-0.9804688
ACCEL,2011-03-17 10:50:07.808,107,926,0.1796875,0.0078125,-1.023438
ACCEL,2011-03-17 10:50:07.828,107,927,0.1796875,-0.0234375,-0.9921875
ACCEL,2011-03-17 10:50:07.848,107,928,0.1210938,-0.05078125,-0.9609375
ACCEL,2011-03-17 10:50:07.868,107,929,0.01171875,-0.06640625,-0.984375
ACCEL,2011-03-17 10:50:07.888,107,930,-0.05859375,-0.1015625,-1.050781
ACCEL,2011-03-17 10:50:07.908,107,931,-0.07421875,-0.1132813,-1.078125
ACCEL,2011-03-17 10:50:07.928,107,932,-0.109375,-0.1132813,-1.078125
