800,,,,,,
chopping,225,250,,,,
ACCEL,2011-03-17 10:25:07.475,107,559,1.625,-0.5820313,-0.5976563
ACCEL,2011-03-17 10:25:07.495,107,560,1.078125,-0.3710938,-0.3085938
ACCEL,2011-03-17 10:25:07.515,107,561,0.6992188,-0.1445313,-0.1484375
ACCEL,2011-03-17 10:25:07.536,107,562,0.21875,-0.03125,-0.09765625
ACCEL,2011-03-17 10:25:07.556,107,563,0.1835938,0.3789063,-0.2617188
ACCEL,2011-03-17 10:25:07.576,107,564,-0.6484375,0.00390625,-0.00390625
ACCEL,2011-03-17 10:25:07.596,107,565,-0.6601563,0.09375,0.1289063
ACCEL,2011-03-17 10:25:07.616,107,566,-0.01953125,0.1679688,-0.03515625
ACCEL,2011-03-17 10:25:07.636,107,567,1.226563,-0.1289063,-0.1796875
ACCEL,2011-03-17 10:25:07.656,107,568,3.046875,-0.2929688,-0.6601563
ACCEL,2011-03-17 10:25:07.672,107,569,2.984375,-0.6484375,-1.238281
ACCEL,2011-03-17 10:25:07.692,107,570,2.121094,-0.6015625,-0.7304688
ACCEL,2011-03-17 10:25:07.712,107,571,1.371094,-0.4570313,-0.3671875
ACCEL,2011-03-17 10:25:07.732,107,572,0.9726563,-0.2382813,-0.1132813
ACCEL,2011-03-17 10:25:07.752,107,573,0.5234375,-0.04296875,-0.1289063
ACCEL,2011-03-17 10:25:07.772,107,574,0.1210938,-0.0390625,-0.046875
ACCEL,2011-03-17 10:25:07.792,107,575,-0.1875,0.2304688,-0.046875
ACCEL,2011-03-17 10:25:07.812,107,576,-0.6679688,0.06640625,-0.0703125
ACCEL,2011-03-17 10:25:07.844,107,577,-0.375,0.08203125,-0.03515625
ACCEL,2011-03-17 10:25:07.864,107,578,1.65625,-0.2539063,0.1484375
