800,,,,,,
shaving,68,75,,,,
ACCEL,2011-03-17 11:04:18.560,106,590,-0.03515625,0.02734375,-0.6796875
ACCEL,2011-03-17 11:04:18.580,106,591,-0.1875,0.0078125,-1.121094
ACCEL,2011-03-17 11:04:18.600,106,592,-0.1054688,-0.1210938,-1.34375
ACCEL,2011-03-17 11:04:18.620,106,593,0.078125,0.05859375,-1.617188
ACCEL,2011-03-17 11:04:18.640,106,594,-0.1914063,-0.1132813,-1.3125
ACCEL,2011-03-17 11:04:18.656,106,595,-0.1523438,-0.0078125,-1.234375
ACCEL,2011-03-17 11:04:18.676,106,596,-0.02734375,-0.03515625,-1.25
ACCEL,2011-03-17 11:04:18.696,106,597,0.04296875,-0.08203125,-1.023438
ACCEL,2011-03-17 11:04:18.716,106,598,0.03515625,-0.1015625,-0.9453125
ACCEL,2011-03-17 11:04:18.736,106,599,-0.01171875,-0.1210938,-0.796875
ACCEL,2011-03-17 11:04:18.756,106,600,0.02734375,-0.0390625,-0.6914063
ACCEL,2011-03-17 11:04:18.776,106,601,0,-0.1015625,-0.5273438
ACCEL,2011-03-17 11:04:18.796,106,602,-0.0546875,-0.09375,-0.7109375
ACCEL,2011-03-17 11:04:18.813,106,603,-0.0390625,-0.07421875,-0.8671875
ACCEL,2011-03-17 11:04:18.833,106,604,0.09375,-0.00390625,-1.039063
ACCEL,2011-03-17 11:04:18.853,106,605,-0.1445313,-0.1953125,-0.921875
ACCEL,2011-03-17 11:04:18.873,106,606,-0.265625,-0.1132813,-1.09375
ACCEL,2011-03-17 11:04:18.893,106,607,-0.2265625,-0.2734375,-1.554688
ACCEL,2011-03-17 11:04:18.913,106,608,-0.09375,-0.1328125,-1.296875
ACCEL,2011-03-17 11:04:18.933,106,609,-0.34375,-0.1523438,-1.359375
ACCEL,2011-03-17 11:04:18.953,106,610,-0.3320313,-0.109375,-1.402344
ACCEL,2011-03-17 11:04:18.969,106,611,-0.171875,-0.0625,-1.199219
ACCEL,2011-03-17 11:04:18.989,106,612,-0.078125,-0.09375,-1.015625
ACCEL,2011-03-17 11:04:19.009,106,613,0.2148438,0.125,-0.859375
ACCEL,2011-03-17 11:04:19.029,106,614,0.015625,-0.2109375,-0.6523438
ACCEL,2011-03-17 11:04:19.049,106,615,0.0625,-0.015625,-0.7773438
